,user_id,type,use_days,use_duration,avg_cont_use,total_calls_log10,usage_range,mean_usage_scaled,sd_usage_scaled,cluster_label
786,510,gnql,0.0,0.0,0.0,0.08175302483242448,0.0,1.0,0.0,0
787,511,gnql,0.008547008547008548,0.03418803418803419,0.0,0.2244878012801336,4.127750652274337e-06,0.5,0.5,1
789,513,gnql,0.03418803418803419,0.05128205128205129,0.005698005698005699,0.21754185984885205,3.7688158129461337e-06,0.2857142857142857,0.3845072235845019,1
791,514,gnql,0.008547008547008548,0.008547008547008548,0.008547008547008548,0.12262953724863672,0.0,1.0,0.0,0
793,515,gnql,0.025641025641025644,0.05128205128205129,0.008547008547008548,0.37411348499325614,4.576419201434591e-05,0.46372549019607845,0.3707010410322259,1
794,516,gnql,0.0,0.0,0.0,0.04087651241621224,0.0,1.0,0.0,0
795,517,gnql,0.008547008547008548,0.017094017094017096,0.0,0.17045199109613052,2.5125438752974226e-06,0.5,0.5,1
796,518,gnql,0.0,0.0,0.0,0.18741727658859586,0.0,1.0,0.0,0
799,521,gnql,0.0,0.0,0.0,0.2341374115800287,0.0,1.0,0.0,0
800,522,gnql,0.0,0.0,0.0,0.26978141923958077,0.0,1.0,0.0,0
802,523,gnql,0.0,0.0,0.0,0.21132850351234278,0.0,1.0,0.0,0
804,524,gnql,0.0,0.0,0.0,0.06478773933995914,0.0,1.0,0.0,0
805,525,gnql,0.0,0.0,0.0,0.10566425175617139,0.0,1.0,0.0,0
806,526,gnql,0.008547008547008548,0.025641025641025644,0.0,0.19436321801987744,3.4098809736179305e-06,0.5,0.5,1
808,527,gnql,0.017094017094017096,0.042735042735042736,0.004273504273504274,0.24525907449727344,5.9224248489153535e-06,0.5252525252525252,0.40980732878991505,1
809,528,gnql,0.0,0.0,0.0,0.04087651241621224,0.0,1.0,0.0,0
810,529,gnql,0.008547008547008548,0.03418803418803419,0.0,0.1147548783282022,5.384022589923049e-07,0.5,0.5,1
811,530,gnql,0.017094017094017096,0.03418803418803419,0.004273504273504274,0.15126107008403927,1.2562719376487113e-06,0.3333333333333333,0.4714045207910317,1
813,531,gnql,0.0,0.0,0.0,0.06478773933995914,0.0,1.0,0.0,0
814,532,gnql,0.0,0.0,0.0,0.10566425175617139,0.0,1.0,0.0,0
