,dt,user_id,type,api_count,cluster_label
667,2021-09-01,28,riot,2,-1
668,2021-09-01,77,gnql,2,-1
669,2021-09-01,74,analysis,8,-1
670,2021-09-01,79,gnql,6,-1
671,2021-09-01,79,riot,1,-1
672,2021-09-01,51,gnql,4,-1
673,2021-09-01,21,gnql,378,-1
674,2021-09-01,94,gnql,2,-1
675,2021-09-01,94,riot,1,0
676,2021-09-01,95,gnql,40,-1
677,2021-09-01,95,riot,13,0
678,2021-09-02,0,gnql,144,-1
679,2021-09-02,4,context,173501,-1
680,2021-09-02,96,context,3,-1
681,2021-09-02,6,context,245,-1
682,2021-09-02,6,gnql,10,-1
683,2021-09-02,6,riot,2,-1
684,2021-09-02,92,gnql,5,-1
685,2021-09-02,92,riot,2,0
686,2021-09-02,87,gnql,1,1
687,2021-09-02,47,gnql,3,-1
688,2021-09-02,47,riot,1,-1
689,2021-09-02,81,context,7,-1
690,2021-09-02,81,riot,7,-1
691,2021-09-02,49,gnql,8,-1
692,2021-09-02,49,riot,3,-1
693,2021-09-02,72,gnql,1,-1
694,2021-09-02,30,gnql,3,1
695,2021-09-02,27,gnql,3,-1
696,2021-09-02,14,gnql,12,-1
697,2021-09-02,52,gnql,13,-1
698,2021-09-02,52,riot,5,-1
699,2021-09-02,67,gnql,14,-1
700,2021-09-02,67,riot,4,-1
701,2021-09-02,61,gnql,72,-1
702,2021-09-02,15,gnql,24,-1
703,2021-09-02,28,riot,1,-1
704,2021-09-02,50,riot,1,-1
705,2021-09-02,68,gnql,11,-1
706,2021-09-02,79,gnql,5,-1
707,2021-09-02,79,riot,1,-1
708,2021-09-02,66,gnql,2,-1
709,2021-09-02,21,gnql,363,-1
710,2021-09-02,43,context,1,-1
711,2021-09-02,43,riot,1,-1
712,2021-09-03,0,gnql,144,-1
713,2021-09-03,25,analysis,433,-1
714,2021-09-03,25,gnql,2,-1
