dt,user_id,type,api_count
2021-08-30,2,gnql,5
2021-08-30,2,riot,2
2021-08-30,4,context,137825
2021-08-30,6,context,341
2021-08-30,81,context,1
2021-08-30,81,riot,1
2021-08-30,48,gnql,2
2021-08-30,29,gnql,2
2021-08-30,29,riot,1
2021-08-30,84,gnql,5
2021-08-30,84,riot,1
2021-08-30,27,gnql,1
2021-08-30,13,gnql,1
2021-08-30,14,context,49519
2021-08-30,14,gnql,24
2021-08-30,14,noise_quick,298508
2021-08-30,14,riot,4041
2021-08-30,15,gnql,14
2021-08-30,50,analysis,2
2021-08-30,50,gnql,2
2021-08-30,50,riot,1
2021-08-30,51,gnql,21
2021-08-30,51,riot,1
2021-08-30,21,context,10
2021-08-30,21,gnql,395
2021-08-30,21,noise_quick,29
2021-08-30,21,riot,22
2021-08-30,85,gnql,4
2021-08-30,43,context,3
2021-08-30,43,riot,3
2021-08-31,86,gnql,3
2021-08-31,0,gnql,144
2021-08-31,4,context,128429
2021-08-31,6,context,349
2021-08-31,87,analysis,7
2021-08-31,87,gnql,7
2021-08-31,63,analysis,20
2021-08-31,63,gnql,7
2021-08-31,75,gnql,3
2021-08-31,10,gnql,6
2021-08-31,10,riot,2
2021-08-31,11,gnql,1
2021-08-31,29,gnql,2
2021-08-31,29,riot,1
2021-08-31,30,gnql,2
2021-08-31,88,gnql,2
2021-08-31,88,riot,1
2021-08-31,27,gnql,5
2021-08-31,89,gnql,4
2021-08-31,89,riot,2
2021-08-31,37,gnql,23
2021-08-31,12,gnql,8
2021-08-31,13,gnql,2
2021-08-31,14,context,4007
2021-08-31,14,gnql,28
2021-08-31,14,noise_quick,285711
2021-08-31,14,riot,2014
2021-08-31,31,gnql,7
2021-08-31,31,riot,3
2021-08-31,67,gnql,44
2021-08-31,67,riot,14
2021-08-31,61,gnql,63
2021-08-31,15,gnql,4
2021-08-31,28,gnql,8
2021-08-31,28,riot,3
2021-08-31,77,gnql,5
2021-08-31,90,gnql,1
2021-08-31,91,gnql,3
2021-08-31,91,riot,1
2021-08-31,50,gnql,10
2021-08-31,50,riot,4
2021-08-31,65,gnql,2
2021-08-31,65,riot,1
2021-08-31,68,gnql,31
2021-08-31,68,riot,1
2021-08-31,79,gnql,24
2021-08-31,79,riot,3
2021-08-31,66,gnql,22
2021-08-31,66,riot,7
2021-08-31,51,analysis,42
2021-08-31,51,gnql,133
2021-08-31,21,gnql,367
2021-08-31,21,noise_quick,1
2021-09-01,0,gnql,123
2021-09-01,25,analysis,101
2021-09-01,25,gnql,2
2021-09-01,25,riot,1
2021-09-01,4,context,184790
2021-09-01,64,gnql,3
2021-09-01,64,riot,1
2021-09-01,6,context,276
2021-09-01,92,gnql,18
2021-09-01,78,gnql,2
2021-09-01,93,gnql,3
2021-09-01,93,riot,1
2021-09-01,87,gnql,2
2021-09-01,47,gnql,9
2021-09-01,47,riot,7
2021-09-01,63,analysis,13
2021-09-01,63,gnql,8
2021-09-01,63,riot,1
2021-09-01,75,gnql,2
2021-09-01,10,gnql,2
2021-09-01,10,riot,1
2021-09-01,11,gnql,1
2021-09-01,72,gnql,2
2021-09-01,30,gnql,6
2021-09-01,37,gnql,122
2021-09-01,12,gnql,11
2021-09-01,13,gnql,2
2021-09-01,13,riot,1
2021-09-01,14,gnql,12
2021-09-01,52,gnql,9
2021-09-01,52,riot,3
2021-09-01,67,gnql,20
2021-09-01,67,riot,5
2021-09-01,61,gnql,75
2021-09-01,28,gnql,7
2021-09-01,28,riot,2
2021-09-01,77,gnql,2
2021-09-01,74,analysis,8
2021-09-01,79,gnql,6
2021-09-01,79,riot,1
2021-09-01,51,gnql,4
2021-09-01,21,gnql,378
2021-09-01,94,gnql,2
2021-09-01,94,riot,1
2021-09-01,95,gnql,40
2021-09-01,95,riot,13
2021-09-02,0,gnql,144
2021-09-02,4,context,173501
2021-09-02,96,context,3
2021-09-02,6,context,245
2021-09-02,6,gnql,10
2021-09-02,6,riot,2
2021-09-02,92,gnql,5
2021-09-02,92,riot,2
2021-09-02,87,gnql,1
2021-09-02,47,gnql,3
2021-09-02,47,riot,1
2021-09-02,81,context,7
2021-09-02,81,riot,7
2021-09-02,49,gnql,8
2021-09-02,49,riot,3
2021-09-02,72,gnql,1
2021-09-02,30,gnql,3
2021-09-02,27,gnql,3
2021-09-02,14,gnql,12
2021-09-02,52,gnql,13
2021-09-02,52,riot,5
2021-09-02,67,gnql,14
2021-09-02,67,riot,4
2021-09-02,61,gnql,72
2021-09-02,15,gnql,24
2021-09-02,28,riot,1
2021-09-02,50,riot,1
2021-09-02,68,gnql,11
2021-09-02,79,gnql,5
2021-09-02,79,riot,1
2021-09-02,66,gnql,2
2021-09-02,21,gnql,363
2021-09-02,43,context,1
2021-09-02,43,riot,1
2021-09-03,0,gnql,144
2021-09-03,25,analysis,433
2021-09-03,25,gnql,2
2021-09-03,4,context,178305
2021-09-03,64,gnql,2
2021-09-03,64,riot,1
2021-09-03,97,gnql,10
2021-09-03,6,context,288
2021-09-03,87,gnql,2
2021-09-03,47,gnql,10
2021-09-03,47,riot,2
2021-09-03,10,gnql,7
2021-09-03,10,riot,2
2021-09-03,11,gnql,2
2021-09-03,49,gnql,2
2021-09-03,49,riot,1
2021-09-03,72,gnql,5
2021-09-03,72,riot,2
2021-09-03,27,gnql,2
2021-09-03,98,gnql,4
2021-09-03,14,gnql,12
2021-09-03,52,gnql,11
2021-09-03,52,riot,4
2021-09-03,67,gnql,16
2021-09-03,67,riot,2
2021-09-03,15,gnql,7
2021-09-03,68,gnql,10
2021-09-03,79,gnql,14
2021-09-03,79,riot,3
2021-09-03,66,gnql,10
2021-09-03,66,riot,2
2021-09-03,99,gnql,28
2021-09-03,99,riot,8
2021-09-03,21,gnql,349
2021-09-03,94,gnql,3
2021-09-03,94,riot,1
2021-09-04,0,gnql,144
2021-09-04,25,analysis,101
2021-09-04,4,context,82584
2021-09-04,64,gnql,2
2021-09-04,64,riot,1
2021-09-04,6,context,129
2021-09-04,47,gnql,3
2021-09-04,47,riot,1
2021-09-04,10,gnql,3
2021-09-04,10,riot,1
2021-09-04,100,gnql,13
2021-09-04,100,riot,2
2021-09-04,13,gnql,1
2021-09-04,14,gnql,12
2021-09-04,52,gnql,7
2021-09-04,52,riot,4
2021-09-04,77,gnql,3
2021-09-04,77,riot,2
2021-09-04,80,gnql,3
2021-09-04,80,riot,1
2021-09-04,66,gnql,1
2021-09-04,101,gnql,1
2021-09-04,21,gnql,284
2021-09-05,0,gnql,144
2021-09-05,25,analysis,101
2021-09-05,25,gnql,30
2021-09-05,4,context,79339
2021-09-05,64,gnql,18
2021-09-05,64,riot,5
2021-09-05,6,context,115
2021-09-05,29,gnql,4
2021-09-05,29,riot,1
2021-09-05,14,gnql,12
2021-09-05,31,gnql,6
2021-09-05,31,riot,3
2021-09-05,102,gnql,11
2021-09-05,102,riot,2
2021-09-05,66,gnql,7
2021-09-05,66,riot,2
2021-09-05,101,riot,1
2021-09-05,21,gnql,294
2021-09-05,95,gnql,2
2021-09-06,0,gnql,144
2021-09-06,25,analysis,498
2021-09-06,25,gnql,3
2021-09-06,4,context,85636
2021-09-06,64,gnql,2
2021-09-06,64,riot,1
2021-09-06,33,context,1
2021-09-06,6,context,342
2021-09-06,11,gnql,1
2021-09-06,49,gnql,3
2021-09-06,49,riot,1
2021-09-06,13,gnql,4
2021-09-06,13,riot,3
2021-09-06,14,gnql,9
2021-09-06,31,gnql,5
2021-09-06,31,riot,2
2021-09-06,103,gnql,3
2021-09-06,104,gnql,55
2021-09-06,104,riot,10
2021-09-06,105,gnql,19
2021-09-06,105,riot,1
2021-09-06,66,gnql,8
2021-09-06,66,riot,3
2021-09-06,101,gnql,22
2021-09-06,101,riot,1
2021-09-06,21,gnql,350
2021-09-06,43,context,1
2021-09-06,43,riot,1
2021-09-07,0,gnql,144
2021-09-07,106,analysis,2
2021-09-07,46,context,1
2021-09-07,46,riot,1
2021-09-07,4,context,165331
2021-09-07,64,gnql,3
2021-09-07,64,riot,1
2021-09-07,96,context,1
2021-09-07,6,context,340
2021-09-07,7,gnql,4
2021-09-07,7,riot,1
2021-09-07,47,gnql,5
2021-09-07,48,gnql,5
2021-09-07,49,gnql,15
2021-09-07,49,riot,7
2021-09-07,29,gnql,17
2021-09-07,29,riot,5
2021-09-07,72,gnql,4
2021-09-07,72,riot,1
2021-09-07,27,gnql,1
2021-09-07,37,gnql,12
2021-09-07,31,gnql,4
2021-09-07,31,riot,1
2021-09-07,15,gnql,37
2021-09-07,15,riot,13
2021-09-07,28,gnql,2
2021-09-07,28,riot,1
2021-09-07,50,analysis,32
2021-09-07,50,gnql,5
2021-09-07,50,riot,1
2021-09-07,65,gnql,2
2021-09-07,65,riot,1
2021-09-07,68,gnql,9
2021-09-07,68,riot,1
2021-09-07,80,gnql,3
2021-09-07,80,riot,2
2021-09-07,102,gnql,11
2021-09-07,107,gnql,7
2021-09-07,108,gnql,19
2021-09-07,108,riot,5
2021-09-07,66,gnql,32
2021-09-07,66,riot,15
2021-09-07,109,gnql,8
2021-09-07,21,gnql,290
2021-09-07,94,gnql,3
2021-09-07,94,riot,1
2021-09-08,45,gnql,2
2021-09-08,45,riot,1
2021-09-08,0,gnql,144
2021-09-08,106,analysis,2
2021-09-08,110,gnql,6
2021-09-08,110,riot,2
2021-09-08,4,context,163184
2021-09-08,5,gnql,3
2021-09-08,6,context,246
2021-09-08,92,gnql,4
2021-09-08,47,gnql,3
2021-09-08,47,riot,1
2021-09-08,10,gnql,5
2021-09-08,10,riot,1
2021-09-08,48,gnql,5
2021-09-08,29,gnql,11
2021-09-08,29,riot,6
2021-09-08,72,gnql,5
2021-09-08,72,riot,1
2021-09-08,27,riot,1
2021-09-08,37,gnql,13
2021-09-08,52,gnql,2
